CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,TAS VALOR FIXO,TRT VALOR FIXO,TDE MÍNIMO,TDE MÁXIMO,TDE(%),TDA(%),ENTREGA VALOR FIXO
13200001,13219999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13220001,13229999,5,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13230001,13239999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13250001,13259999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13260000,13269999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13270001,13279999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13280001,13289999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13290000,13294999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13295001,13299999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13300001,13314999,7,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13315000,13315000,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13318000,13318000,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13320001,13329999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13330001,13349999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13350000,13359999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
